id,requirement,priority,release_train,design_refs,goal_refs,acceptance_test,test_suite,status
FR-SCR-005,"Adapt bitrate, frame rate and scale to network and CPU/GPU pressure.",P0,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-04-lan-transport.md,AT-FR-SCR-005,Capture/render compatibility,READY_FOR_IMPLEMENTATION
FR-SCR-006,Provide text-clarity and motion-priority quality profiles.,P1,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md,AT-FR-SCR-006,Capture/render compatibility,READY_FOR_IMPLEMENTATION
FR-SCR-007,Mask configured windows or regions when enterprise policy requires it.,P2,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md,AT-FR-SCR-007,Capture/render compatibility,READY_FOR_IMPLEMENTATION
FR-INP-001,Remote control is disabled until host grants input scope.,P0,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-001,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-INP-002,Map absolute coordinates correctly across mixed-DPI multi-monitor desktops.,P0,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-002,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-INP-003,"Support mouse buttons, wheel, keyboard scan codes and Unicode text input.",P0,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-003,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-INP-004,"Release stuck keys/buttons on disconnect, focus loss and transport reset.",P0,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-004,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-INP-005,Local user activity may temporarily override or pause remote input by policy.,P1,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-005,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-INP-006,Local emergency disconnect hotkey is always active and cannot be disabled.,P0,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-006,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-INP-007,"Elevated and secure-desktop capabilities are reported explicitly, never silently assumed.",P0,ATTENDED_GA,02-protocol/protobuf/remote_support.proto;03-client/input-clipboard.md;03-client/elevation-broker.md,07-delivery/goals/goal-05-input-topology.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-INP-007,Input/security compatibility,READY_FOR_IMPLEMENTATION
FR-DAT-001,Clipboard sync is off until permission is granted.,P0,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-001,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-DAT-002,Initial GA supports text clipboard only; rich formats are separately gated.,P0,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-002,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-DAT-003,"File transfer requires explicit direction, size, destination and policy checks.",P0,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-003,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-DAT-004,Partial transfers resume using chunk hashes and transfer IDs.,P1,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-004,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-DAT-005,Received files are marked as externally sourced and never auto-opened.,P0,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-005,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-DAT-006,Operator and host can cancel an active transfer immediately.,P0,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-006,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-DAT-007,"Audit log stores metadata, not file content.",P0,ATTENDED_GA,02-protocol/file-transfer-protocol.md;02-protocol/protobuf/remote_support.proto;05-security/security-architecture.md,07-delivery/goals/goal-08-data-features.md,AT-FR-DAT-007,Clipboard/file security,READY_FOR_IMPLEMENTATION
FR-CTL-001,Provide in-session text chat.,P1,ATTENDED_GA,02-protocol/control-channel.md;02-protocol/protobuf/remote_support.proto;03-client/portable-agent.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-08-data-features.md,AT-FR-CTL-001,Peer control/session lifecycle,READY_FOR_IMPLEMENTATION
FR-CTL-002,Host can revoke individual scopes without ending the session.,P0,ATTENDED_GA,02-protocol/control-channel.md;02-protocol/protobuf/remote_support.proto;03-client/portable-agent.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-08-data-features.md,AT-FR-CTL-002,Peer control/session lifecycle,READY_FOR_IMPLEMENTATION
FR-CTL-003,Host and operator can terminate the session.,P0,ATTENDED_GA,02-protocol/control-channel.md;02-protocol/protobuf/remote_support.proto;03-client/portable-agent.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-08-data-features.md,AT-FR-CTL-003,Peer control/session lifecycle,READY_FOR_IMPLEMENTATION
FR-CTL-004,Session indicator shows active scopes and elapsed time.,P0,ATTENDED_GA,02-protocol/control-channel.md;02-protocol/protobuf/remote_support.proto;03-client/portable-agent.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-08-data-features.md,AT-FR-CTL-004,Peer control/session lifecycle,READY_FOR_IMPLEMENTATION
FR-CTL-005,Reconnect requires a bounded grace token and state reconciliation.,P1,ATTENDED_GA,02-protocol/control-channel.md;02-protocol/protobuf/remote_support.proto;03-client/portable-agent.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-08-data-features.md,AT-FR-CTL-005,Peer control/session lifecycle,READY_FOR_IMPLEMENTATION
FR-MGT-001,Device enrollment binds an installation to a tenant using a one-time enrollment token.,P0,MANAGED_HOST,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-13-managed-host.md,AT-FR-MGT-001,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-002,Device private keys remain non-exportable where platform APIs support it.,P0,MANAGED_HOST,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-13-managed-host.md,AT-FR-MGT-002,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-003,Unattended access is disabled by default.,P0,UNATTENDED_GA,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-14-unattended.md,AT-FR-MGT-003,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-004,Enabling unattended access requires local admin action or centrally managed enterprise deployment.,P0,UNATTENDED_GA,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-14-unattended.md,AT-FR-MGT-004,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-005,Operator MFA and policy authorization are required for unattended sessions.,P0,UNATTENDED_GA,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-14-unattended.md,AT-FR-MGT-005,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-006,Device access can be revoked immediately from the tenant console.,P0,MANAGED_HOST,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-13-managed-host.md,AT-FR-MGT-006,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-007,Every unattended connection generates host notification and audit evidence unless a documented enterprise policy says otherwise.,P0,UNATTENDED_GA,01-architecture/windows-process-model.md;03-client/windows-service.md;04-backend/authorization-matrix.md;05-security/identity-and-access.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-14-unattended.md,AT-FR-MGT-007,Managed-device authorization,READY_FOR_IMPLEMENTATION
FR-MGT-008,"An installed device refreshes and rotates its control-plane credential by proving possession of its active device key, without repeating tenant enrollment.",P0,MANAGED_HOST,02-protocol/managed-host-command-channel.md;02-protocol/openapi/openapi.yaml;04-backend/database-schema.sql,07-delivery/goals/goal-13-managed-host.md,AT-FR-MGT-008,automated contract/integration plus targeted manual evidence,READY_FOR_IMPLEMENTATION
FR-MGT-009,"An installed host receives managed-session requests through an authenticated, revocable device channel and binds each launched host peer to a fresh ephemeral key.",P0,MANAGED_HOST,02-protocol/managed-host-command-channel.md;02-protocol/openapi/openapi.yaml;04-backend/database-schema.sql,07-delivery/goals/goal-13-managed-host.md,AT-FR-MGT-009,automated contract/integration plus targeted manual evidence,READY_FOR_IMPLEMENTATION
FR-ADM-001,"Tenant roles include Owner, Admin, Security Auditor, Operator and Read-only Analyst.",P0,ATTENDED_GA,04-backend/policy-engine.md;04-backend/authorization-matrix.md;04-backend/database-schema.sql;05-security/audit-and-incident.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md,AT-FR-ADM-001,Tenant/policy/audit integration,READY_FOR_IMPLEMENTATION
FR-ADM-002,"Access decisions evaluate tenant, operator, device, policy, time and requested scope.",P0,ATTENDED_GA,04-backend/policy-engine.md;04-backend/authorization-matrix.md;04-backend/database-schema.sql;05-security/audit-and-incident.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md,AT-FR-ADM-002,Tenant/policy/audit integration,READY_FOR_IMPLEMENTATION
FR-ADM-003,Audit records are append-only at the application layer and tamper-evident.,P0,ATTENDED_GA,04-backend/policy-engine.md;04-backend/authorization-matrix.md;04-backend/database-schema.sql;05-security/audit-and-incident.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md,AT-FR-ADM-003,Tenant/policy/audit integration,READY_FOR_IMPLEMENTATION
FR-ADM-004,"Admin can configure retention, allowed features, file limits, and an explicit recording-disabled policy for attended GA; recording enablement is a separately released capability.",P0,ATTENDED_GA,04-backend/policy-engine.md;04-backend/authorization-matrix.md;04-backend/database-schema.sql;05-security/audit-and-incident.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md,AT-FR-ADM-004,Tenant/policy/audit integration,READY_FOR_IMPLEMENTATION
FR-ADM-005,Security events can be exported through webhook/SIEM integration.,P1,ENTERPRISE_POST_GA,04-backend/policy-engine.md;04-backend/authorization-matrix.md;04-backend/database-schema.sql;05-security/audit-and-incident.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md,AT-FR-ADM-005,Tenant/policy/audit integration,READY_FOR_IMPLEMENTATION
FR-ADM-006,Support staff access to customer metadata uses just-in-time privileged workflow and is audited.,P0,ATTENDED_GA,04-backend/policy-engine.md;04-backend/authorization-matrix.md;04-backend/database-schema.sql;05-security/audit-and-incident.md,07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md,AT-FR-ADM-006,Tenant/policy/audit integration,READY_FOR_IMPLEMENTATION
FR-ADM-007,"Tenant owners and admins can invite members, update authorized roles, suspend access, and remove memberships through audited workflows.",P0,ATTENDED_GA,03-client/admin-portal.md;02-protocol/openapi/openapi.yaml;04-backend/database-schema.sql,07-delivery/goals/goal-10-tenancy-policy-audit.md,AT-FR-ADM-007,automated contract/integration plus targeted manual evidence,READY_FOR_IMPLEMENTATION
FR-ADM-008,Tenant owners can request data export and tenant closure and can track each workflow to auditable completion.,P0,ATTENDED_GA,03-client/admin-portal.md;02-protocol/openapi/openapi.yaml;04-backend/database-schema.sql,07-delivery/goals/goal-10-tenancy-policy-audit.md,AT-FR-ADM-008,automated contract/integration plus targeted manual evidence,READY_FOR_IMPLEMENTATION
NFR-PERF-001,Capture-to-display median latency is below 150 ms on a healthy direct connection in the reference lab.,P0,ALL_RELEASES,01-architecture/media-pipeline.md;01-architecture/networking-and-turn.md;04-backend/capacity-and-cost.md;06-quality/performance-and-slo.md,07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-12-attended-ga.md;07-delivery/goals/goal-04-lan-transport.md,AT-NFR-PERF-001,Performance lab,READY_FOR_IMPLEMENTATION
NFR-PERF-002,Input event round-trip p95 is below 200 ms on a healthy direct connection.,P0,ALL_RELEASES,01-architecture/media-pipeline.md;01-architecture/networking-and-turn.md;04-backend/capacity-and-cost.md;06-quality/performance-and-slo.md,07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-PERF-002,Performance lab,READY_FOR_IMPLEMENTATION
NFR-PERF-003,Connection establishment p95 is below 10 seconds when either a direct or TURN route is available.,P0,ALL_RELEASES,01-architecture/media-pipeline.md;01-architecture/networking-and-turn.md;04-backend/capacity-and-cost.md;06-quality/performance-and-slo.md,07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-12-attended-ga.md;07-delivery/goals/goal-04-lan-transport.md,AT-NFR-PERF-003,Performance lab,READY_FOR_IMPLEMENTATION
NFR-PERF-004,Idle-desktop bitrate converges below 300 Kbps at 1080p when no meaningful visual change occurs.,P0,ALL_RELEASES,01-architecture/media-pipeline.md;01-architecture/networking-and-turn.md;04-backend/capacity-and-cost.md;06-quality/performance-and-slo.md,07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-PERF-004,Performance lab,READY_FOR_IMPLEMENTATION
NFR-PERF-005,"Active office-work bitrate remains adaptive, with a reference target range of 1–5 Mbps at 1080p.",P0,ALL_RELEASES,01-architecture/media-pipeline.md;01-architecture/networking-and-turn.md;04-backend/capacity-and-cost.md;06-quality/performance-and-slo.md,07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-PERF-005,Performance lab,READY_FOR_IMPLEMENTATION
NFR-PERF-006,Client working-set target is below 500 MB for one 1080p session; exceptions require profiling evidence and release approval.,P0,ALL_RELEASES,01-architecture/media-pipeline.md;01-architecture/networking-and-turn.md;04-backend/capacity-and-cost.md;06-quality/performance-and-slo.md,07-delivery/goals/goal-03-encoding.md;07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-PERF-006,Performance lab,READY_FOR_IMPLEMENTATION
NFR-REL-001,"Attended-GA control-plane monthly availability objective is at least 99.9%, excluding declared maintenance under the published policy.",P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-REL-001,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-REL-002,Each production TURN region has at least two independently restartable relay nodes and a regional availability objective of at least 99.9%.,P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-REL-002,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-REL-003,"Client crash-free session objective is at least 99.5% before beta and 99.9% before GA, measured with a documented denominator and privacy-safe telemetry.",P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-REL-003,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-REL-004,"Active peer media continues during transient signaling loss when the established WebRTC transport remains valid, and state reconciles after signaling recovery.",P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md;07-delivery/goals/goal-04-lan-transport.md,AT-NFR-REL-004,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-REL-005,"Every resource-owning native module supports deterministic teardown, bounded shutdown, device-loss recovery, and watchdog-observable failure states.",P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md;07-delivery/goals/goal-04-lan-transport.md,AT-NFR-REL-005,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-REL-006,"Database backups, point-in-time recovery, and restore verification meet the RPO/RTO objectives in the disaster-recovery plan.",P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-REL-006,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-REL-007,Client update failure cannot leave the last known-good signed version unlaunchable; rollback is automatic or explicitly recoverable.,P0,ALL_RELEASES,06-quality/performance-and-slo.md;06-quality/observability.md;08-operations/disaster-recovery-plan.md;08-operations/slo-alert-catalog.md,07-delivery/goals/goal-07-internet-turn.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-REL-007,Reliability/chaos/DR,READY_FOR_IMPLEMENTATION
NFR-SEC-001,All internet traffic uses authenticated encryption with approved protocol versions and cipher policy.,P0,ALL_RELEASES,05-security/security-architecture.md;05-security/threat-model.md;05-security/secure-sdlc.md;03-client/elevation-broker.md;03-client/installer-updater.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-SEC-001,Security verification,READY_FOR_IMPLEMENTATION
NFR-SEC-002,"Device identity, operator identity, tenant membership, and ephemeral peer identity are distinct trust subjects and are bound explicitly during authorization.",P0,ALL_RELEASES,05-security/security-architecture.md;05-security/threat-model.md;05-security/secure-sdlc.md;03-client/elevation-broker.md;03-client/installer-updater.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-SEC-002,Security verification,READY_FOR_IMPLEMENTATION
NFR-SEC-003,"Session authorization, signaling tickets, reconnect grants, and TURN credentials are short-lived, purpose-bound, audience-bound, and scope-bound where applicable.",P0,ALL_RELEASES,05-security/security-architecture.md;05-security/threat-model.md;05-security/secure-sdlc.md;03-client/elevation-broker.md;03-client/installer-updater.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-SEC-003,Security verification,READY_FOR_IMPLEMENTATION
NFR-SEC-004,Long-lived TURN credentials are never distributed to clients.,P0,ALL_RELEASES,05-security/security-architecture.md;05-security/threat-model.md;05-security/secure-sdlc.md;03-client/elevation-broker.md;03-client/installer-updater.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-SEC-004,Security verification,READY_FOR_IMPLEMENTATION
NFR-SEC-005,"Secrets, bearer tokens, clipboard/chat contents, keystrokes, screen contents, and transferred-file contents never appear in application logs or telemetry.",P0,ALL_RELEASES,05-security/security-architecture.md;05-security/threat-model.md;05-security/secure-sdlc.md;03-client/elevation-broker.md;03-client/installer-updater.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-SEC-005,Security verification,READY_FOR_IMPLEMENTATION
NFR-SEC-006,"Every privileged or security-relevant state transition emits a stable audit event with actor, tenant, target, outcome, reason, correlation, and tamper-evident sequence data.",P0,ALL_RELEASES,05-security/security-architecture.md;05-security/threat-model.md;05-security/secure-sdlc.md;03-client/elevation-broker.md;03-client/installer-updater.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md;07-delivery/goals/goal-10-tenancy-policy-audit.md;07-delivery/goals/goal-11-update-observability-ops.md;07-delivery/goals/goal-12-attended-ga.md,AT-NFR-SEC-006,Security verification,READY_FOR_IMPLEMENTATION
